,专业公共卫生机构诊疗人次数,专科医院诊疗人次数,专科疾病防治院(所、站)诊疗人次数,中医医院诊疗人次数,中西医结合医院诊疗人次数,临床检验中心诊疗人次数,乡镇卫生院诊疗人次数,其他医疗卫生机构诊疗人次数,医院诊疗人次数,卫生院诊疗人次数,各类医疗卫生机构诊疗人次数,基层医疗卫生机构诊疗人次数,妇幼保健院(所、站)诊疗人次数,护理院诊疗人次数,民族医院诊疗人次数,疗养院诊疗人次数,社区卫生服务中心(站)诊疗人次数,综合医院诊疗人次数,街道卫生院诊疗人次数,门诊部诊疗人次数
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,14.38,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,11.0,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,10.65,,,,,,,,,,,,,
1991年,,,,,,,10.82,,,,,,,,,,,,,
1992年,,,,,,,10.34,,,,,,,,,,,,,
1993年,,,,,,,8.98,,,,,,,,,,,,,
1994年,,,,,,,9.73,,,,,,,,,,,,,
1995年,,,,,,,9.38,,,,,,,,,,,,,
1996年,,,,,,,9.44,,,,,,,,,,,,,
1997年,,,,,,,9.16,,,,,,,,,,,,,
1998年,,,,,,,8.74,,,,,,,,,,,,,
1999年,,,,,,,8.38,,,,,,,,,,,,,
2000年,,,,,,,8.24,,,,,,,,,,,,,
2001年,,,,,,,8.24,,,,,,,,,,,,,
2002年,,,,,,,7.1,,12.43059545,,,,,,,,,,,
2003年,,,,,,,6.91,,12.127341,,,,,,,,,,,
2004年,,,,,,,6.81,,13.04526796,,,,,,,,,,,
2005年,,,,,,,6.79,,13.86533401,,,,,,,,,,,
2006年,,,,,,,7.01,,14.71012912,,,,,,,,,,,
2007年,,,,,,,7.58558682,,16.37695812,,,,,,,,,,,
2008年,,1.38,0.18,2.75,,,8.26800671,,17.81669786,8.62,49.00897,,1.36,,,0.02,2.57,13.41,0.35,0.51
2009年,1.70468393,1.54467974,0.18826013,3.01458467,0.24499165,0.00784779,8.76608232,0.02898929,19.21938815,9.19458825,54.87671412,33.92365275,1.48469684,0.00531298,0.05369665,0.0211415,3.76974907,14.35612246,0.42850593,0.60865227
2010年,1.82447398,1.68215297,0.18965655,3.27701645,0.27025861,0.01630943,8.74,0.03978771,20.39633314,9.01187461,58.37615842,36.11556359,1.59673151,0.00570821,0.05537871,0.02347828,4.84515523,15.10581819,0.26986731,0.6561325
2011年,1.99348538,1.87559909,0.19619419,3.61206068,0.29587754,0.04963,8.6649846,0.07442605,22.58837284,8.77536917,62.71226278,38.05597851,1.756892,0.00511509,0.05891324,0.02479327,5.46537408,16.7408072,0.11038457,0.70842182
2012年,2.2736387,2.16336668,0.2124761,4.0705193,0.3769097,0.04635611,9.67577839,0.10143596,25.41616095,9.77668921,68.88329138,41.09205577,2.01480649,0.00547277,0.0645932,0.02446479,5.9868703,18.7352993,0.10091082,0.75395486
2013年,2.42064895,2.35754922,0.21871927,4.37262634,0.44660646,0.03622739,10.07127372,0.0585745,27.41776872,10.17124808,73.14009678,43.24310461,2.15080771,0.00732523,0.07601409,0.02234711,6.57097799,20.15764738,0.09997436,0.83785538
2014年,2.60461378,2.58673803,0.22252528,4.71641676,0.5101348,,10.28659132,0.05386245,29.72069922,10.37585832,76.01866343,43.63948798,2.32292262,0.00885682,0.07925522,0.02358032,6.85307699,21.81929759,0.089267,0.87860542
