,固定资产,无形及递延资产,流动资产,资产合计
1978年,,,,
1979年,,,,
1980年,,,,
1981年,,,,
1982年,,,,
1983年,,,,
1984年,,,,
1985年,,,,
1986年,,,,
1987年,,,,
1988年,,,,
1989年,,,,
1990年,,,,
1991年,,,,
1992年,,,,
1993年,725.4543,30.1808,2759.339,3719.514
1994年,993.9,28.2135,4084.6991,5404.6752
1995年,1370.8198,56.6723,4972.7542,6718.649
1996年,1976.2208,73.5716,6754.1292,9242.8516
1997年,2205.3095,103.345,7755.7195,10592.7753
1998年,2410.13,125.3793,8783.7465,11870.4232
1999年,2659.52018,164.75319,9674.72666,13144.29303
2000年,2969.77724,228.15824,10587.51908,14578.36857
2001年,3571.63157,386.95071,12140.58905,16967.61427
2002年,4518.3333,521.9417,14315.3123,20390.1075
2003年,5144.7123,583.2396,16603.4099,23541.9044
2004年,,,,
2005年,5787.67305,650.89569,22826.80683,31485.73082
2006年,6306.24664,736.04091,26598.48714,36008.7811
2007年,6916.70624,958.35631,32010.31111,43029.27362
2008年,7779.31443,1146.67722,38943.77465,51711.92963
2009年,8918.35844,1292.49674,47478.99851,62164.38775
2010年,9776.2623,1494.042,57945.2469,75221.766
2011年,10527.52869,,71995.02973,93859.85583
2012年,11785.21779,,86959.28512,111692.15194
2013年,,,,
2014年,13621.944,,117374.55642,148372.78725
