,村民委员会单位数,村民委员会成员数,社区居委会单位数,社区居委会成员数,自治组织单位数,自治组织增加值,自治组织女性成员数,自治组织成员数
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,311681.0,,65519.0,,377200.0,,,
1984年,,,,,,,,
1985年,948628.0,3796000.0,80943.0,349000.0,1029571.0,,,4145000.0
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,1001272.0,4094000.0,98814.0,431000.0,1100086.0,,,4525000.0
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,,,,
1994年,,,,,,,,
1995年,931716.0,4005000.0,111860.0,480000.0,1043576.0,,,4485000.0
1996年,928312.0,3975000.0,113690.0,493000.0,1042002.0,,,4468000.0
1997年,905804.0,3788000.0,117915.0,498000.0,1023719.0,,,4286000.0
1998年,832987.0,3586000.0,119042.0,508000.0,952029.0,,,4094000.0
1999年,801483.0,3513000.0,114815.0,501000.0,916298.0,,,4014000.0
2000年,731659.0,3150000.0,108424.0,484000.0,840083.0,,779500.0,3634000.0
2001年,699974.0,3164000.0,91893.0,464000.0,791867.0,,762920.0,3628000.0
2002年,681277.0,2942000.0,86087.0,396000.0,767364.0,,715761.0,3338000.0
2003年,663486.0,3191000.0,77431.0,397000.0,740917.0,,764546.0,3588000.0
2004年,644166.0,2921000.0,77884.0,425000.0,722050.0,,679641.0,3346000.0
2005年,629079.0,2657000.0,79947.0,454000.0,709026.0,,684900.0,3111000.0
2006年,623669.0,2430000.0,80717.0,443000.0,704386.0,273.17004,776200.0,2873000.0
2007年,612709.0,2411100.0,82006.0,416200.0,694715.0,280.93419,715200.0,2827200.0
2008年,604285.0,2338800.0,83413.0,421500.0,687698.0,328.55706,717700.0,2760300.0
2009年,599078.0,2340000.0,84689.0,431000.0,683767.0,370.90266,718600.0,2771000.0
2010年,594658.0,2334000.0,87057.0,439000.0,681715.0,309.88987,716000.0,2773000.0
2011年,589653.0,2319000.0,89480.0,454000.0,679133.0,363.2,734000.0,2773000.0
2012年,588475.0,2323000.0,91153.0,469000.0,679628.0,375.0,742000.0,2792000.0
2013年,588547.0,2323100.0,94620.0,484000.0,683167.0,,760800.0,2807100.0
2014年,585451.0,2305000.0,96693.0,497000.0,682144.0,,767000.0,2802000.0
