,二氧化硫排放量,氮氧化物排放量,烟(粉)尘排放量
1978年,0.0,0.0,0.0
1979年,0.0,0.0,0.0
1980年,0.0,0.0,0.0
1981年,0.0,0.0,0.0
1982年,0.0,0.0,0.0
1983年,0.0,0.0,0.0
1984年,0.0,0.0,0.0
1985年,0.0,0.0,0.0
1986年,0.0,0.0,0.0
1987年,0.0,0.0,0.0
1988年,0.0,0.0,0.0
1989年,0.0,0.0,0.0
1990年,0.0,0.0,0.0
1991年,0.0,0.0,0.0
1992年,0.0,0.0,0.0
1993年,0.0,0.0,0.0
1994年,0.0,0.0,0.0
1995年,0.0,0.0,0.0
1996年,0.0,0.0,0.0
1997年,0.0,0.0,0.0
1998年,0.0,0.0,0.0
1999年,0.0,0.0,0.0
2000年,0.0,0.0,0.0
2001年,0.0,0.0,0.0
2002年,0.0,0.0,0.0
2003年,0.0,0.0,0.0
2004年,22549000.0,0.0,0.0
2005年,25494000.0,0.0,0.0
2006年,25888000.0,0.0,0.0
2007年,24680888.459,0.0,0.0
2008年,23212000.0,0.0,0.0
2009年,22144000.0,0.0,0.0
2010年,21851000.0,0.0,0.0
2011年,22179081.6901,24042744.886,12788255.366
2012年,21180000.0,23377617.223,12357747.786
2013年,20439000.0,22273587.4475,12781410.759
2014年,19744159.8469,20780015.3363,17407507.5824
